Frequency,Elevation,Azimuth
9000000.0,34,89
9000000.0,34,90
9000000.0,34,91
9000000.0,36,87
9000000.0,36,88
9000000.0,36,89
9000000.0,36,90
9000000.0,36,91
9000000.0,38,87
9000000.0,38,88
9000000.0,38,89
9000000.0,38,90
9000000.0,38,91
9000000.0,40,87
9000000.0,40,88
9000000.0,40,89
9000000.0,40,90
9000000.0,40,91
10000000.0,0,87
10000000.0,0,88
10000000.0,0,89
10000000.0,0,90
10000000.0,0,91
10000000.0,2,87
10000000.0,2,88
10000000.0,2,89
10000000.0,2,90
10000000.0,2,91
10000000.0,4,87
10000000.0,4,88
10000000.0,4,89
10000000.0,4,90
10000000.0,4,91
10000000.0,6,87
10000000.0,6,88
10000000.0,6,89
10000000.0,6,90
10000000.0,6,91
10000000.0,8,87
10000000.0,8,88
10000000.0,8,89
10000000.0,8,90
10000000.0,8,91
10000000.0,10,87
10000000.0,10,88
10000000.0,10,89
10000000.0,10,90
10000000.0,10,91
10000000.0,12,87
10000000.0,12,88
10000000.0,12,89
10000000.0,12,90
10000000.0,12,91
10000000.0,14,87
10000000.0,14,88
10000000.0,14,89
10000000.0,14,90
10000000.0,14,91
10000000.0,16,87
10000000.0,16,88
10000000.0,16,89
10000000.0,16,90
10000000.0,16,91
10000000.0,18,87
10000000.0,18,88
10000000.0,18,89
10000000.0,18,90
10000000.0,18,91
10000000.0,20,87
10000000.0,20,88
10000000.0,20,89
10000000.0,20,90
10000000.0,20,91
10000000.0,22,87
10000000.0,22,88
10000000.0,22,89
10000000.0,22,90
10000000.0,22,91
10000000.0,24,87
10000000.0,24,88
10000000.0,24,89
10000000.0,24,90
10000000.0,24,91
10000000.0,26,87
10000000.0,26,88
10000000.0,26,89
10000000.0,26,90
10000000.0,26,91
10000000.0,28,87
10000000.0,28,88
10000000.0,28,89
10000000.0,28,90
10000000.0,28,91
10000000.0,30,87
10000000.0,30,88
10000000.0,30,89
10000000.0,30,90
10000000.0,30,91
10000000.0,32,87
10000000.0,32,88
10000000.0,32,89
10000000.0,32,90
10000000.0,32,91
10000000.0,34,87
10000000.0,34,88
10000000.0,34,89
10000000.0,34,90
10000000.0,34,91
10000000.0,36,87
10000000.0,36,88
10000000.0,36,89
10000000.0,36,90
10000000.0,36,91
10000000.0,38,87
10000000.0,38,88
10000000.0,38,89
10000000.0,38,90
10000000.0,38,91
10000000.0,40,87
10000000.0,40,88
10000000.0,40,89
10000000.0,40,90
10000000.0,40,91
11000000.0,0,87
11000000.0,0,88
11000000.0,0,89
11000000.0,0,90
11000000.0,0,91
11000000.0,2,87
11000000.0,2,88
11000000.0,2,89
11000000.0,2,90
11000000.0,2,91
11000000.0,4,87
11000000.0,4,88
11000000.0,4,89
11000000.0,4,90
11000000.0,4,91
11000000.0,6,87
11000000.0,6,88
11000000.0,6,89
11000000.0,6,90
11000000.0,6,91
11000000.0,8,87
11000000.0,8,88
11000000.0,8,89
11000000.0,8,90
11000000.0,8,91
11000000.0,10,87
11000000.0,10,88
11000000.0,10,89
11000000.0,10,90
11000000.0,10,91
11000000.0,12,87
11000000.0,12,88
11000000.0,12,89
11000000.0,12,90
11000000.0,12,91
11000000.0,14,87
11000000.0,14,88
11000000.0,14,89
11000000.0,14,90
11000000.0,14,91
11000000.0,16,87
11000000.0,16,88
11000000.0,16,89
11000000.0,16,90
11000000.0,16,91
11000000.0,18,87
11000000.0,18,88
11000000.0,18,89
11000000.0,18,90
11000000.0,18,91
11000000.0,20,87
11000000.0,20,88
11000000.0,20,89
11000000.0,20,90
11000000.0,20,91
11000000.0,22,87
11000000.0,22,88
11000000.0,22,89
11000000.0,22,90
